source	authors	year	type	title	journal	url	abstract	rater_1	excl_english_1	excl_groupstudy_1	excl_age_1	excl_healthy_1	excl_task_1	excl_stats_1	include_1	comment_1	rater_2	excl_english_2	excl_groupstudy_2	excl_age_2	excl_healthy_2	excl_task_2	excl_stats_2	include_2	comment_2	code_1	code_2	code_match	code_discuss	code_final	bin_1	bin_2	bin_match
database	Adams, Marietta Smith	2010	thesis	Gender differences in the complexity of virtual LEGO block designs of kindergarten students		https://www.proquest.com/dissertations-theses/gender-differences-complexity-virtual-lego-block/docview/519057617/se-2?accountid=11531	Educational research reveals that block play can benefit the development of spatial abilities in young children. Research also shows that a relationship exists between spatial ability and mathematics achievement. Because of this, education groups and researchers realize the importance of spatial competence and are recommending that developing sound spatial skills should be a focus in math curriculum. In addition, a spotlight on using focused interventions and technology to enhance spatial ability has arisen.    Students in this study used software called LEGO Digital Designer 2.3® to build with blocks in a virtual world. This study focused on block play through technology and used a newly created Digital Complexity Scale based on established block stages and scales to evaluate kindergarten students' digital block designs. Using the Kruskall-Wallis test, this study found no significant differences in complexity between male and female's digital block constructions.	AE	0	0	1	0	0	0	0		SK	0	0	0	1	0	0	0	age 5.5 yrs - 6.5 yrs	3	4	0	3	3	0	0	1
database	Adler, Geri; Rottunda, Susan; Dysken, Maurice	2005	journalArticle	The older driver with dementia: an updated literature review.	Journal of safety research	https://doi.org/10.1016/j.jsr.2005.07.005	INTRODUCTION: At some point during their illness, drivers with dementia pose a public safety risk. METHOD: To address the issue of determining driving competence  in drivers with dementia, the authors reviewed 11 studies. RESULTS: When comparing  different driving assessments, the authors found that while road tests, simulators,  and neuropsychological tests are important, each has limitations. CONCLUSION:  Neuropsychological tests that highlighted visual spatial skills, attention, and  reaction time provided the most meaningful correlations with driving performance.  Furthermore, the authors recommend that patients with MMSE scores of 24 or less have  a driving evaluation, and that driving evaluations be repeated at six month  intervals or more frequently if a noticeable decline is observed. IMPACT: Because  many older adults with dementia continue to drive, competence must be addressed.	AE	0	1	0	0	0	0	0		SK	0	0	1	0	0	0	0		2	3	0	2	2	0	0	1
database	Adrien, J.-L.; Taupiac, E.; Thiébaut, E.; Paulais, M.-A.; Van-Gils, J.; Kaye, K.; Blanc, R.; Gattegno, M.P.; Contejean, Y.; Michel, G.; Dean, A.; Barthélémy, C.; Lacombe, D.	2021	journalArticle	A comparative study of cognitive and socio-emotional development in children with Rubinstein-Taybi syndrome and children with Autism Spectrum Disorder associated with a severe intellectual disability, and in young typically developing children with matched developmental ages	Research in Developmental Disabilities	https://doi.org/10.1016/j.ridd.2021.104029	Background: Cognitive and socio-emotional profiles of children with CREBBP-related Rubinstein-Taybi syndrome (RSTS 1), children with Autism Spectrum Disorder (ASD) with severe intellectual disability and developmental ages (DA) under 24 months, and typically developing (TD) children with similar DA were compared. Participants: Thirty-one children with RSTS 1 (mean chronological age, CA = 59,8 months; 33−87) and thirty children with ASD, matched on CA and DA and developmental quotients (DQ), were compared to thirty TD children (CA ranged from 12 to 24 months). Methods: Cognitive and socio-emotional developmental levels, DA and DQ were assessed with appropriated tests. Results: More socio-emotional developmental similarities were observed between TD and RSTS 1 than between TD and ASD children. Clinical groups displayed similar developmental delays in cognitive (self-image, symbolic play, means-ends, and object permanence) and socio-emotional domains (language and imitation). Children with RSTS 1 exhibited higher developmental levels in behavior regulation, joint attention, affective relations, emotional expression domains, and a lower developmental level in spatial relations domain. Conclusions: Common interventions centered on symbolic play, self-image, language, and imitation for both clinical groups, and differentiated interventions centered on spatial abilities for RSTS 1 children and on social abilities for ASD could be used by caregivers were suggested. © 2021	AE	0	0	0	0	1	0	0		SK	0	0	0	1	0	0	0		5	4	0	5	5	0	0	1
database	Aggio, Daniel; Smith, Lee; Hamer, Mark	2018	journalArticle	Early life cognitive function and health behaviours in late childhood: testing the neuroselection hypothesis.	Journal of epidemiology and community health	https://doi.org/10.1136/jech-2017-208896	BACKGROUND: Higher cognitive function in childhood is associated with healthier behaviours and a reduced risk of chronic disease in adulthood, but it is unclear  whether this selection of healthier behaviours occurs in childhood or later in life.  The present study investigated how cognitive function at age 3-7 years was  associated with health behaviours at age 11. METHODS: Verbal, non-verbal and spatial  abilities were assessed using the British Ability Scales at ages 3-7. At age 11,  children reported how often they engaged in sport/physical activity, sedentary  behaviours (eg, reading and games console usage), cigarette smoking and alcohol  consumption. Logistic regression was used to estimate odds of engaging in health  behaviours at age 11 according to early life cognition. RESULTS: A 1 SD increase in  early childhood verbal ability was associated with reduced odds of attempting  smoking in boys and girls (OR 0.69 (95% CI 0.57 to 0.84)) and reduced odds of  computer gaming in girls (OR 0.79 (95% CI 0.72 to 0.86)) by age 11. Early childhood  verbal ability was also associated with reduced odds of regular participation in  sport/active games (boys: OR 0.91 (95% CI 0.84 to 0.99); girls: OR 0.81 (95% CI 0.74  to 0.88)) and increased odds of reading for enjoyment (boys: OR 1.47 (95% CI 1.35 to  1.60); girls: OR 1.48 (95% CI 1.36 to 1.62)) at age 11. Early childhood non-verbal  ability was associated with reduced odds of alcohol consumption in boys and girls  (OR 0.92 (95% CI 0.85 to 0.99)) and reduced odds of online messaging in boys (OR  0.89 (95% CI 0.81 to 0.98)) at age 11. Early childhood spatial ability was  associated with reduced odds of participating in sport/active games in boys at age  11 (OR 0.88 (95% CI 0.82 to 0.95). CONCLUSION: Neuroselection may occur during early  childhood resulting in some, but not all, healthier behaviours by age 11.	AE	0	0	1	0	0	0	0		SK	0	0	0	0	1	0	0	vocabulary task was taken at age 2	3	5	0	3	3	0	0	1
database	Agrell, B.; Dehlin, O.	2000	journalArticle	Mini mental state examination in geriatric stroke patients. Validity, differences between subgroups of patients, and relationships to somatic and mental variables.	Aging (Milan, Italy)	https://doi.org/10.1007/BF03339874	To study the validity of the Mini Mental State Examination (MMSE) in geriatric stroke patients, 116 patients were tested 2-8 weeks and 6 months post-stroke. A  neuropsychological test battery consisting of five tests measuring memory,  calculation and spatial ability was used for validation. Motor activity, depression,  aphasia and activities of daily living were assessed. Confusion in the acute stage,  Barthel Index, depression scores, level of motor activity, and most of the  neuropsychological tests correlated to the MMSE. Logistic regression showed 4  independent variables which could predict the MMSE scores. A factor analysis showed  3 factors which could explain 53% of the variance. The sensitivity for detecting  dementia was 56%, and increased to 68% if patients with isolated spatial dysfunction  were excluded. The MMSE had acceptable validity in detecting cognitive dysfunction  early poststroke in this old patient population.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Aguilar Ramirez, Daniela E.; Blinch, Jarrod; Gonzalez, Claudia L. R.	2021	journalArticle	One brick at a time: Building a developmental profile of spatial abilities.	Developmental psychobiology	https://doi.org/10.1002/dev.22155	Spatial abilities are not only fundamental for activities of daily living, but they are also markers of academic and professional success. It has remained a challenge,  however, to understand their development across childhood and adolescence, partly  because of the lack of spatial tasks that are appropriate across age groups. For  example, the well-established paper-based mental rotation test (MRT) has been shown  to be too difficult for children. In the current study, we tested girls and boys in  three age groups: younger children (5-8-years-old), older children (9-12), and  adolescents (13-17) on a hands-on visuospatial task using toy bricks: the  brick-building task (BBT). Children completed a low- and a high-mental rotation  demand (LMR and HMR) version of the BBT and the paper-based MRT. Correlations were  found between all tasks. Children, especially females, found the HMR more  challenging than the LMR condition, but all children successfully completed the BBT.  In contrast, the MRT was too difficult for the younger children to solve performing  at chance. Given this result and that the BBT is a game-like, 3D, interactive task,  the BBT could be used to examine the biological and/or environmental factors that  affect the early development of visuospatial abilities.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Agus, M.; Mascia, M.L.; Fastame, M.C.; Melis, V.; Pilloni, M.C.; Penna, M.P.	2015	conferencePaper	The measurement of enhancement in mathematical abilities as a result of joint cognitive trainings in numerical and visual- spatial skills: A preliminary study	J. Phys. Conf. Ser.	https://doi.org/10.1088/1742-6596/588/1/012041	A body of literature shows the significant role of visual-spatial skills played in the improvement of mathematical skills in the primary school. The main goal of the current study was to investigate the impact of a combined visuo-spatial and mathematical training on the improvement of mathematical skills in 146 second graders of several schools located in Italy. Participants were presented single pencil-and-paper visuo-spatial or mathematical trainings, computerised version of the above mentioned treatments, as well as a combined version of computer-assisted and pencil-and-paper visuo-spatial and mathematical trainings, respectively. Experimental groups were presented with training for 3 months, once a week. All children were treated collectively both in computer-assisted or pencil-and-paper modalities. At pre and post-test all our participants were presented with a battery of objective tests assessing numerical and visuo-spatial abilities. Our results suggest the positive effect of different types of training for the empowerment of visuo-spatial and numerical abilities. Specifically, the combination of computerised and pencil-and-paper versions of visuo-spatial and mathematical trainings are more effective than the single execution of the software or of the pencil-and-paper treatment. © Published under licence by IOP Publishing Ltd.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Ahmed, Alia; Whitley, Chester B.; Cooksley, Renee; Rudser, Kyle; Cagle, Stephanie; Ali, Nadia; Delaney, Kathleen; Yund, Brianna; Shapiro, Elsa	2014	journalArticle	Neurocognitive and neuropsychiatric phenotypes associated with the mutation L238Q of the α-L-iduronidase gene in Hurler-Scheie syndrome.	Molecular genetics and metabolism	https://doi.org/10.1016/j.ymgme.2013.11.014	The lysosomal enzyme α-L-iduronidase hydrolyzes terminal iduronic acid from heparan sulfate and dermatan sulfate, and is an essential step in GAG degradation. Mutations  of its gene, IDUA, yield a spectrum of mucopolysaccharidosis (MPS) type I clinical  disorders. The IDUA mutation, c.712T>A (p.L238Q) was previously noted as a mild  mutation. In a longitudinal study of MPS brain structure and function (Lysosomal  Disease Network), we found this mutation in 6 of 14 Hurler-Scheie syndrome patients  in the age range of 15 to 25 years. We hypothesized that L238Q, when paired with a  nonsense mutation, is significantly more severe than other missense-nonsense  combinations. METHODS: Of 6 patients with a L238Q mutation, the L238Q allele was  paired with a nonsense mutation in 4 patients, paired with a deletion in 1, and with  a splice site mutation in another. This group was compared to 6 Hurler-Scheie  patients closely matched in age and mutation type. IQ and other neuropsychological  tests were administered as part of the protocol. Medical history was compiled into a  Physical Symptom Score (PSS). Assessment of IQ, attention, memory, spatial ability,  adaptive function and psychological status were measured. RESULTS: No group  differences were found in mean age at evaluation (17.8 and 19.0 years), duration of  ERT, or PSS. By history, all were reported to be average in IQ (4/6 with  documentation) in early childhood. All (100%) of the L238Q group had a psychiatric  history and sleep problems compared to none (0%) of the comparison group.  Significant differences were found in depression and withdrawal on parent report  measures. IQ was lower in the L238Q group (mean IQ 74) than the comparison group  (mean IQ 95; p<0.016). Attention, memory, and visual-spatial ability scores were  also significantly lower. Three occurrences of shunted hydrocephalus, and 4 of  cervical cord compression were found in the L238Q group; the comparison group had  one occurrence of unshunted hydrocephalus and two of cord compression. DISCUSSION:  The missense mutation L238Q, when paired with a nonsense mutation, is associated  with significant, late-onset brain disease: psychiatric disorder, cognitive deficit,  and general decline starting at a later age than in Hurler syndrome with a  mutation-related rate of GAG accumulation and its pathologic sequelae. This  particular genotype-phenotype may provide insight into the genesis of psychiatric  illnesses more broadly. Consideration of methods for early, brain-targeted treatment  in these patients might be considered.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Ahonen, Timo	1990	thesis	Developmental coordination disorders in children: A developmental neuropsychological follow-up study		https://www.proquest.com/dissertations-theses/developmental-coordination-disorders-children/docview/303914618/se-2?accountid=11531	The aim of this study was to describe motor clumsiness in children (developmental coordination disorder), its features and developmental changes between the ages of 5 and 11 years. For this study, all 5-year-old children (N = 1138) living in a Finnish town (Lahti) were screened during an extended health examination and motorically delayed children were identified. A sample of motorically delayed children (N = 106 at age 7) and an age- and sex-matched control group (N = 40 at age 7) were followed at ages 7, 9, and 11, using a large number of motor and neuropsychological tests. The study also included teacher and parent ratings concerning learning and behavioral problems and assessment of cognitive abilities.    The problems in motor development which were detected by using a simple screening procedure (visual-motor and gross motor items and developmental milestones) tended to be clearly present in approximately half of the subjects up to at least age 11. At the age of 11, clumsy children had about a three-fold occurrence of different kinds of learning disabilities compared to the control group. The clearest behavioral correlate of motor clumsiness was inattention/passivity.    By using clustering methods, six reliable subgroups were identified at age 7 and re-examined at 9 and 11. Clustering was based on motor and neuropsychological variables. The main feature in the first subgroup was general developmental delay in motor and cognitive functions. The second group was cognitively normal but they had gross motor difficulties. The third group had problems in motor control, the fourth in visual-spatial skills. The fifth group had similar difficulties to the fourth but in milder form. The main feature in the sixth group was kinesthetic problems. The meaning of motor clumsiness as a specific developmental problem and the use of motor assessment as a part of screening also for other kinds of developmental disabilities is discussed.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Aicgilligan, R.P.; Barclat, A.G.	1974	journalArticle	Sex differences and spatial ability factors in Witkin's “differentiation” construct	Journal of Clinical Psychology	https://doi.org/10.1002/1097-4679(197410)30:4<528::AID-JCLP2270300420>3.0.CO;2-N		AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
database	Akerson, Adam G.	2011	thesis	Survey of in-service early childhood educators' knowledge, skills, and confidence in teaching spatial skills to young children		https://www.proquest.com/dissertations-theses/survey-service-early-childhood-educators/docview/922420303/se-2?accountid=11531	Spatial abilities have been linked to mathematics achievement, in addition to science achievement and creativity in the arts (Clements & Sarama, 2007; Shepard, 1978; West, 1991; Wheatley, 1999). Even though the importance of spatial abilities has been recognized, the percentage of preschool teachers who report teaching spatial abilities either through lessons or free exploration is a mere 32 percent (Sarama & DiBiase, 2004), which may lead some to question the qualifications of early childcare teachers. The educational requirements of early childcare teachers varies within states, for programs located in different settings or subject to different regulations, with the result that many practitioners do not hold college degrees, and most are not certified (Whitebook et al., 2009). Developing the knowledge, skills, and abilities to provide high-quality mathematics education can prove difficult with such a variation in teacher requirements from program to program and state to state.    The purpose of this research study was to examine in-service early childcare teachers' knowledge, methods, and confidence concerning spatial skills development in their classrooms. The participants included 88 in-service early childhood educators who are currently teaching in a preschool or early childcare center. Archival data that were previously collected utilizing the survey instrument,  Spatial Abilities Survey for In-Service Teachers, was utilized in this study.    The results of the chi-square and ANOVA analyses revealed a statistically significant relationship between in-service early childhood educators' level of education and their knowledge and skills associated with spatial abilities. Furthermore, a statistically significant relationship exists between the setting in which early childhood educators' taught and their knowledge and skills associated with spatial abilities.    With less than desireable performance in the areas of mathematics and science becoming evident through national assessments as early as 4 th grade (NCES, 2009), it is essential that our students be afforded a high-quality education as early as preschool, in order to provide a foundation for future success in these areas. A high-quality education starts with the early childhood educator and the knowledge and skills he/she brings to the classroom.	AE	0	0	1	0	0	0	0		SK	0	0	1	0	0	0	0		3	3	1	NA	3	0	0	1
